# source: https://www.genenames.org/cgi-bin/genefamilies/set/1054
# https://www.genenames.org/cgi-bin/genefamilies/set/1054/download/branch
HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
1176	MRPL49	mitochondrial ribosomal protein L49	Approved	C11orf4	NOF, NOF1, L49mt	11q13.1		NM_004927	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16654	MRPL50	mitochondrial ribosomal protein L50	Approved		FLJ20493, MRP-L50	9q31.1	AK000500	NM_019051	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14044	MRPL51	mitochondrial ribosomal protein L51	Approved	MRP64	CDA09, HSPC241, bMRP64	12p13.31	AB051355	NM_016497	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16655	MRPL52	mitochondrial ribosomal protein L52	Approved			14q11.2	AK000450	NM_180982	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16684	MRPL53	mitochondrial ribosomal protein L53	Approved			2p13.1	BC012163	NM_053050	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16685	MRPL54	mitochondrial ribosomal protein L54	Approved			19p13.3		NM_172251	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16686	MRPL55	mitochondrial ribosomal protein L55	Approved			1q42.13	AK056987	XM_059233	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16468	LACTB	lactamase beta	Approved	MRPL56	FLJ14902	15q22.2	AK027808	NM_032857	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14514	MRPL57	mitochondrial ribosomal protein L57	Approved	MRP63		13q12.11	AB049957	NM_024026	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14277	MRPL9	mitochondrial ribosomal protein L9	Approved			1q21.3	AK026363	NM_031420	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14502	MRPS10	mitochondrial ribosomal protein S10	Approved		FLJ10567	6p21.1			MRPL, MRPS	Mitochondrial ribosomal proteins	646
14050	MRPS11	mitochondrial ribosomal protein S11	Approved		FLJ23406, HCC-2, FLJ22512	15q25.3	AB051349	NM_022839	MRPL, MRPS	Mitochondrial ribosomal proteins	646
10380	MRPS12	mitochondrial ribosomal protein S12	Approved	RPMS12	RPS12, RPSM12	19q13.2	Y11681		MRPL, MRPS	Mitochondrial ribosomal proteins	646
14049	MRPS14	mitochondrial ribosomal protein S14	Approved		HSMRPS14	1q25.1	AB051350	NM_022100	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14504	MRPS15	mitochondrial ribosomal protein S15	Approved		FLJ11564	1p34.3	AB049946	NM_031280	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14048	MRPS16	mitochondrial ribosomal protein S16	Approved		CGI-132	10q22.2	AB051351		MRPL, MRPS	Mitochondrial ribosomal proteins	646
14047	MRPS17	mitochondrial ribosomal protein S17	Approved		HSPC011, RPMS17, MRP-S17	7p11.2	AB051352	NM_015969	MRPL, MRPS	Mitochondrial ribosomal proteins	646
